trade_id,trade_date,execution_timestamp,booking_timestamp,trader_id,desk,instrument_type,counterparty,notional_usd,executed_price,market_price_at_execution,restricted_list_flag,related_party_flag
TRD-1001,2026-07-10,2026-07-10T09:15:00Z,2026-07-10T09:22:00Z,TR-014,Equity,Equity,Meridian Brokers,125000,54.20,54.15,N,N
TRD-1002,2026-07-10,2026-07-10T09:18:00Z,2026-07-10T09:25:00Z,TR-022,FX,FX Spot,Global FX Partners,3200000,1.0872,1.0869,N,N
TRD-1003,2026-07-10,2026-07-10T09:20:00Z,2026-07-10T09:31:00Z,TR-014,Equity,Equity,Restricted Holdings LLC,45000,12.30,12.28,Y,N
TRD-1004,2026-07-10,2026-07-10T09:25:00Z,2026-07-10T09:33:00Z,TR-031,FixedIncome,Corporate Bond,Anchor Capital,8500000,98.75,98.70,N,N
TRD-1005,2026-07-10,2026-07-10T09:30:00Z,2026-07-10T09:40:00Z,TR-009,Derivatives,Interest Rate Swap,Northbridge Swaps,15000000,101.20,101.15,N,N
TRD-1006,2026-07-10,2026-07-10T09:32:00Z,2026-07-10T09:44:00Z,TR-014,Equity,Equity,Meridian Brokers,310000,88.10,88.05,N,N
TRD-1007,2026-07-10,2026-07-10T09:35:00Z,2026-07-10T09:50:00Z,TR-022,FX,FX Forward,Global FX Partners,900000,1.3401,1.3398,N,N
TRD-1008,2026-07-10,2026-07-10T09:40:00Z,2026-07-11T14:10:00Z,TR-031,FixedIncome,Corporate Bond,Anchor Capital,2100000,99.10,99.05,N,N
TRD-1009,2026-07-10,2026-07-10T09:42:00Z,2026-07-10T09:55:00Z,TR-009,Derivatives,Equity Option,Northbridge Swaps,410000,4.20,4.18,N,N
TRD-1010,2026-07-10,2026-07-10T09:45:00Z,2026-07-10T09:59:00Z,TR-014,Equity,Equity,Apex Sponsor Fund II,180000,60.00,59.95,N,Y
TRD-1011,2026-07-10,2026-07-10T09:50:00Z,2026-07-10T10:02:00Z,TR-022,FX,FX Spot,Global FX Partners,650000,0.7912,0.7910,N,N
TRD-1012,2026-07-10,2026-07-10T09:52:00Z,2026-07-10T10:05:00Z,TR-031,FixedIncome,Treasury,Meridian Brokers,32000000,102.40,102.38,N,N
TRD-1013,2026-07-10,2026-07-10T09:55:00Z,2026-07-10T10:10:00Z,TR-009,Derivatives,Interest Rate Swap,Northbridge Swaps,4800000,100.90,100.85,N,N
TRD-1014,2026-07-10,2026-07-10T10:00:00Z,2026-07-10T10:15:00Z,TR-014,Equity,Equity,Meridian Brokers,275000,45.60,44.10,N,N
TRD-1015,2026-07-10,2026-07-10T10:02:00Z,2026-07-10T10:18:00Z,TR-022,FX,FX Spot,Global FX Partners,410000,1.0855,1.0850,N,N
TRD-1016,2026-07-10,2026-07-10T10:05:00Z,2026-07-10T10:20:00Z,TR-031,FixedIncome,Corporate Bond,Restricted Holdings LLC,3200000,97.50,97.45,Y,N
TRD-1017,2026-07-10,2026-07-10T10:08:00Z,2026-07-10T10:22:00Z,TR-009,Derivatives,Equity Option,Northbridge Swaps,190000,3.10,3.08,N,N
TRD-1018,2026-07-10,2026-07-10T10:10:00Z,2026-07-10T10:25:00Z,TR-014,Equity,Equity,Meridian Brokers,88000,22.40,22.38,N,N
TRD-1019,2026-07-10,2026-07-10T10:12:00Z,2026-07-10T10:28:00Z,TR-022,FX,FX Forward,Global FX Partners,7200000,1.2210,1.2205,N,N
TRD-1020,2026-07-10,2026-07-10T10:15:00Z,2026-07-10T10:30:00Z,TR-031,FixedIncome,Treasury,Anchor Capital,610000,101.05,101.02,N,N
TRD-1021,2026-07-10,2026-07-10T10:18:00Z,2026-07-10T10:33:00Z,TR-009,Derivatives,Interest Rate Swap,Apex Sponsor Fund II,2100000,100.10,100.08,N,Y
TRD-1022,2026-07-10,2026-07-10T10:20:00Z,2026-07-10T10:35:00Z,TR-014,Equity,Equity,Meridian Brokers,155000,71.30,71.25,N,N
TRD-1023,2026-07-10,2026-07-10T10:22:00Z,2026-07-10T10:38:00Z,TR-022,FX,FX Spot,Global FX Partners,340000,0.6541,0.6538,N,N
TRD-1024,2026-07-10,2026-07-10T10:25:00Z,2026-07-10T10:40:00Z,TR-031,FixedIncome,Corporate Bond,Anchor Capital,26000000,99.80,99.75,N,N
TRD-1025,2026-07-10,2026-07-10T10:28:00Z,2026-07-10T10:44:00Z,TR-009,Derivatives,Equity Option,Northbridge Swaps,510000,5.60,5.58,N,N
TRD-1026,2026-07-10,2026-07-10T10:30:00Z,2026-07-10T10:47:00Z,TR-014,Equity,Equity,Meridian Brokers,42000,18.90,18.88,N,N
TRD-1027,2026-07-10,2026-07-10T10:32:00Z,2026-07-10T10:50:00Z,TR-022,FX,FX Spot,Restricted Holdings LLC,300000,1.4550,1.4545,Y,N
TRD-1028,2026-07-10,2026-07-10T10:35:00Z,2026-07-10T10:52:00Z,TR-031,FixedIncome,Treasury,Meridian Brokers,4900000,100.55,100.50,N,N
TRD-1029,2026-07-10,2026-07-10T10:38:00Z,2026-07-10T10:55:00Z,TR-009,Derivatives,Interest Rate Swap,Northbridge Swaps,890000,99.90,99.88,N,N
TRD-1030,2026-07-10,2026-07-10T10:40:00Z,2026-07-10T10:58:00Z,TR-014,Equity,Equity,Meridian Brokers,225000,33.20,33.18,N,N
TRD-1031,2026-07-10,2026-07-10T10:42:00Z,2026-07-11T09:15:00Z,TR-022,FX,FX Forward,Global FX Partners,1200000,1.1980,1.1975,N,N
TRD-1032,2026-07-10,2026-07-10T10:45:00Z,2026-07-10T11:02:00Z,TR-031,FixedIncome,Corporate Bond,Anchor Capital,750000,98.20,98.15,N,N
TRD-1033,2026-07-10,2026-07-10T10:48:00Z,2026-07-10T11:05:00Z,TR-009,Derivatives,Equity Option,Northbridge Swaps,63000,2.10,2.09,N,N
TRD-1034,2026-07-10,2026-07-10T10:50:00Z,2026-07-10T11:08:00Z,TR-014,Equity,Equity,Meridian Brokers,495000,15.80,15.78,N,N
TRD-1035,2026-07-10,2026-07-10T10:52:00Z,2026-07-10T11:10:00Z,TR-022,FX,FX Spot,Global FX Partners,5600000,0.8890,0.8886,N,N
TRD-1036,2026-07-10,2026-07-10T10:55:00Z,2026-07-10T11:12:00Z,TR-031,FixedIncome,Treasury,Apex Sponsor Fund II,3100000,101.90,101.85,N,Y
TRD-1037,2026-07-10,2026-07-10T10:58:00Z,2026-07-10T11:15:00Z,TR-009,Derivatives,Interest Rate Swap,Northbridge Swaps,17500000,100.05,100.02,N,N
TRD-1038,2026-07-10,2026-07-10T11:00:00Z,2026-07-10T11:18:00Z,TR-014,Equity,Equity,Meridian Brokers,68000,9.40,9.38,N,N
TRD-1039,2026-07-10,2026-07-10T11:02:00Z,2026-07-10T11:20:00Z,TR-022,FX,FX Spot,Global FX Partners,210000,1.5680,1.5675,N,N
TRD-1040,2026-07-10,2026-07-10T11:05:00Z,2026-07-10T11:23:00Z,TR-031,FixedIncome,Corporate Bond,Anchor Capital,9200000,97.90,97.85,N,N
